ID,MSLG,SPA,MSLG_clean
316,YA ÉL ARRESTADO ESO FEO VERDAD,"Él fue arrestado, qué feo.",YA ÉL ARRESTADO ESO FEO VERDAD
372,MI SOBRINO ALTO,Mi sobrino es muy alto.,MI SOBRINO ALTO
560,SIEMPRE HIJO MÍ VECINO MUCHO DESOBEDECER,El hijo de mi vecino siempre es muy desobediente.,SIEMPRE HIJO MÍ VECINO MUCHO DESOBEDECER
884,MI HIJO+MUJER ELLA GUSTAR PATO MUCHO,A mi hija le gustan los patos.,MI HIJO+MUJER ELLA GUSTAR PATO MUCHO
310,SIEMPRE MI HERMANO+MUJER SU AMIGO AMBOS AHORA JUNTOS IMITAR SU CARÁCTER,"Mi hermana y su amigo siempre están juntos, ahora ella imita su comportamiento.",SIEMPRE MI HERMANO+MUJER SU AMIGO AMBOS AHORA JUNTOS IMITAR SU CARÁCTER
121,DOMINGO YO CONFIRMACIÓN YO IR,Iré a una confirmación el domingo.,DOMINGO YO CONFIRMACIÓN YO IR
264,¿TÚ YA CONOCER ARGENTINA?,¿Tú ya conoces Argentina?,¿TÚ YA CONOCER ARGENTINA?
703,ÁFRICA ADENTRO GHANA,Ghana está en África.,ÁFRICA ADENTRO GHANA
270,"AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO","Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO"
143,CHAPULTEPEC YO YA VER ALGUNO DELFÍN,En Chapultepec vi algunos delfines.,CHAPULTEPEC YO YA VER ALGUNO DELFÍN
922,MAESTRA MATEMÁTICAS MUCHAS BROMAS,La maestra de matemáticas dice muchas bromas.,MAESTRA MATEMÁTICAS MUCHAS BROMAS
620,¿TÚ DECIR ESO SEGURO?,¿Estás seguro de lo que dices?,¿TÚ DECIR ESO SEGURO?
445,AYER MI PRIMO CONMIGO NOSOTROS-DE-DOS PELEAR,Mi primo se peleó conmigo ayer.,AYER MI PRIMO CONMIGO NOSOTROS-DE-DOS PELEAR
629,MI SUEGRO TRABAJO TRABAJO,Mi suegro es muy trabajador.,MI SUEGRO TRABAJO TRABAJO
553,YO OLVIDAR CONTRASEÑA,Olvidé mi contraseña.,YO OLVIDAR CONTRASEÑA
669,ÚNICO MUJER TENER SU CLITORIS,Sólo las mujeres tienen clítoris.,ÚNICO MUJER TENER SU CLITORIS
427,CANADÁ CASCADA dm-CATARATAS DEL NIÁGARA BONITA,"En Canadá están las Cataratas del Niágara, que son hermosas.",CANADÁ CASCADA CATARATAS DEL NIÁGARA BONITA
503,HOY NUEVO SACERDOTE YO YA CONOCER ÉL,Hoy conocí al nuevo sacerdote.,HOY NUEVO SACERDOTE YO YA CONOCER ÉL
773,ESE ELEFANTE OREJÓN CHISTOSO,Ese elefante orejón es muy chistoso.,ESE ELEFANTE OREJÓN CHISTOSO
224,dm-ALONDRA YA PROMETER SU MAMÁ FUTURO MÉDICO,Alondra le prometió a su mamá ser médico.,ALONDRA YA PROMETER SU MAMÁ FUTURO MÉDICO
383,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA
877,CUADERNO YO NECESITAR,Necesito un cuaderno.,CUADERNO YO NECESITAR
890,YA MÉXICO NACIONAL MÍ PAPÁ DOS-DE-NOSOTROS-ABANDONAR MÍ,Mi papá nos abandonó en México.,YA MÉXICO NACIONAL MÍ PAPÁ DOS-DE-NOSOTROS-ABANDONAR MÍ
475,CHUPÓN DEBE DAR BEBÉ,Dale el chupón al bebé.,CHUPÓN DEBE DAR BEBÉ
109,MI HERMANO TENER DIENTE DIENTE CHUECO,Mi hermanito tiene los dientes chuecos.,MI HERMANO TENER DIENTE DIENTE CHUECO
859,AYER COCA-COLA YO COMPRAR,Yo compré una Coca Cola ayer.,AYER COCA-COLA YO COMPRAR
478,AHORITA NIÑO DIOS YA MECER,Es hora de mecer al niño Dios.,AHORITA NIÑO DIOS YA MECER
601,EJERCER-REMAR AYUDA CUERPO SANO,Remar es un ejercicio que ayuda a la salud.,EJERCER-REMAR AYUDA CUERPO SANO
820,TUS OJOS HERMOSOS COLOR CAFÉ,Tú tienes unos hermosos ojos color café.,TUS OJOS HERMOSOS COLOR CAFÉ
292,AYER NOCHE METRO CAOS,Anoche el metro era un caos.,AYER NOCHE METRO CAOS
407,MI VECINO+MUJER SU HIJO+MUJER TENER AUTISMO,La hija de mi vecina tiene autismo.,MI VECINO+MUJER SU HIJO+MUJER TENER AUTISMO
542,CARRETILLA-DE-CARGA COSTALES LLEVAR,Lleva los costales en la carretilla.,CARRETILLA-DE-CARGA COSTALES LLEVAR
215,LLOVER TARDE PARECE,Al parecer va a llover en la tarde.,LLOVER TARDE PARECE
869,¿TÚ CONTESTAR MI PREGUNTA PODER?,¿Puedes contestar mi pregunta?,¿TÚ CONTESTAR MI PREGUNTA PODER?
624,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR,El senador explica por qué la gasolina está cara.,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR
840,¿TÚ YA CENAR?,¿Ya cenaste?,¿TÚ YA CENAR?
464,CREDENCIAL VOTAR HABER MI HUELLA,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA
417,MI PUERTA COLOR AZUL YO YA PINTAR,Pinté mi puerta de color azul.,MI PUERTA COLOR AZUL YO YA PINTAR
441,PLAYA MUCHOS COCOS YO ENCONTRAR YA,En la playa encontré muchos cocos.,PLAYA MUCHOS COCOS YO ENCONTRAR YA
583,PRÓXIMO AÑO LUGAR LAGO-DE-PÁTZCUARO NOSOTROS VIAJAR,Nosotros viajaremos el próximo año al Lago de Pátzcuaro.,PRÓXIMO AÑO LUGAR LAGO-DE-PÁTZCUARO NOSOTROS VIAJAR
908,YO TENER-CULPA,Yo no tengo la culpa.,YO TENER-CULPA
932,NAVIDAD ÚLTIMA DOS-DE-NOSOTROS NO-TE-HE-VISTO,No te he visto desde la última navidad.,NAVIDAD ÚLTIMA DOS-DE-NOSOTROS NO-TE-HE-VISTO
844,10 MAÑANA NOS-VEMOS METRO CHABACANO,Nos vemos en el metro chabacano a las 10 de la mañana,10 MAÑANA NOS-VEMOS METRO CHABACANO
559,VACUNAS PROTEGER ENFERMEDAD,Las vacunas te protegen de las enfermedades.,VACUNAS PROTEGER ENFERMEDAD
66,BARRERAS COMUNICACIÓN QUITAR PODER,Las barreras de comunicación pueden eliminarse.,BARRERAS COMUNICACIÓN QUITAR PODER
973,dm-EDGAR MAESTRO,Edgar es maestro.,EDGAR MAESTRO
41,dm-SOFÍA SU PAPÁ+MAMÁ APROVECHARSE-DE APOYO,Sofía se aprovechó del apoyo de sus papás.,SOFÍA SU PAPÁ+MAMÁ APROVECHARSE-DE APOYO
733,JAPÓN ESE ISLA BONITO,Japón es una isla bonita.,JAPÓN ESE ISLA BONITO
800,ESO FEO PARECE VULGAR,"Eso es feo, parece vulgar.",ESO FEO PARECE VULGAR
720,MI TÍO GUATEMALA VIVIR,Mi tío vive en Guatemala.,MI TÍO GUATEMALA VIVIR
13,"¡JARRÓN YO ROMPER, PERDÓN, ACCIDENTE!","¡Rompí el jarrón, perdón, fue un accidente!","¡JARRÓN YO ROMPER, PERDÓN, ACCIDENTE!"
672,SIEMPRE NIÑO SUEÑO,El niño siempre tiene sueño.,SIEMPRE NIÑO SUEÑO
141,BLOQUEAR PROTEGER SOL,El bloqueador me protege del sol.,BLOQUEAR PROTEGER SOL
57,BAJA-CALIFORNIA-SUR PLAYA DIFERENTES MUCHO LIMPIO,Las playas de Baja California Sur son muy limpias.,BAJA-CALIFORNIA-SUR PLAYA DIFERENTES MUCHO LIMPIO
415,ADORNAR NAVIDAD MI ABUELO AYUDAR,Mi abuelo ayuda a la colecta navideña.,ADORNAR NAVIDAD MI ABUELO AYUDAR
655,12% SUELDO YA AUMENTAR,Aumentó el sueldo en un 12%.,12% SUELDO YA AUMENTAR
785,DIARIO YO MANEJAR CARRO YO DEBER PONER-GASOLINA,"Diario manejo mi auto, debo ponerle gasolina.",DIARIO YO MANEJAR CARRO YO DEBER PONER-GASOLINA
647,WINDSURF NECESITAR VIENTO MAR,El windsurf necesita del aire para deslizarse.,WINDSURF NECESITAR VIENTO MAR
323,MUCHO ESFUERZO TÚ DEBER META TÚ ALCANZAR,Debes esforzarte mucho para alcanzar tu meta.,MUCHO ESFUERZO TÚ DEBER META TÚ ALCANZAR
697,YO GUSTAR GALLETA DIFERENTE GAMESA,Me gustan las galletas Gamesa.,YO GUSTAR GALLETA DIFERENTE GAMESA
635,TAIWÁN ISLA,Taiwán es una isla.,TAIWÁN ISLA
450,SEMANA PASADA TUYO CONTROL-DE-VIDEOJUEGO DESCOMPONERSE,Tu control de videojuego se descompuso la semana pasada.,SEMANA PASADA TUYO CONTROL-DE-VIDEOJUEGO DESCOMPONERSE
184,MESA NUEVA YO QUERER,Quiero una mesa nueva.,MESA NUEVA YO QUERER
430,CESÁREA YO NACER YA,Yo nací por cesárea.,CESÁREA YO NACER YA
668,CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR,MI Mí familia y yo fuimos a Celaya.,CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR
518,MUJER TENER VÁGINA,Las mujeres tienen vágina.,MUJER TENER VÁGINA
811,CASA AZOTEAarriba YO LIMPIAR YA,Yo limpié la azotea de la casa.,CASA AZOTEAARRIBA YO LIMPIAR YA
682,NUEVO CD YO YA PERDER,Perdí mi nuevo CD.,NUEVO CD YO YA PERDER
486,OTRO LIBRO YO TENER,Tengo otro libro.,OTRO LIBRO YO TENER
259,APAGAR LUZ POR-FAVOR,"Por favor, apaga la luz.",APAGAR LUZ POR-FAVOR
612,PRÓXIMO AÑO YO IR UNIVERSIDAD ESTUDIAR LUGAR SAN DIEGO,Quiero ir a estudiar el próximo año la universidad en San Diego.,PRÓXIMO AÑO YO IR UNIVERSIDAD ESTUDIAR LUGAR SAN DIEGO
510,PONTE-SUDADERA NOSOTROS IR CORRER,Vamos a correr ponte la sudadera.,PONTE-SUDADERA NOSOTROS IR CORRER
685,EFECTIVO NINGÚN YO TRAER,No traigo efectivo.,EFECTIVO NINGÚN YO TRAER
889,dm-ANA SUYO PERRO ABANDONAR YA,Ana abandonó a su perro.,ANA SUYO PERRO ABANDONAR YA
135,CANCÚN HABER CRUCERO,En Cancún hay un crucero.,CANCÚN HABER CRUCERO
200,YO YA VISITAR MURAL dm-DIEGO-RIVERA,Visité el mural de Diego Rivera.,YO YA VISITAR MURAL DIEGO-RIVERA
708,GOBIERNO CUIDAR PERSONA,El gobierno cuida a los ciudadanos.,GOBIERNO CUIDAR PERSONA
965,ESTADOS UNIDOS DIFÍCIL VIVIR,Vivir en Estados Unidos es difícil.,ESTADOS UNIDOS DIFÍCIL VIVIR
146,CASA AMIGO DETRÁS MI CASA,La casa de mi amigo está detrás de la mía.,CASA AMIGO DETRÁS MI CASA
204,TODOS-LUNES ALUMNOS CANTAR HIMNO NACIONAL,Los alumnos cantan el himno nacional los lunes.,TODOS-LUNES ALUMNOS CANTAR HIMNO NACIONAL
972,LLUVIA TUBO ROMPER,Con la lluvia el tubo se rompió.,LLUVIA TUBO ROMPER
182,COMIDA MENOS YO QUERER,Yo quiero menos comida.,COMIDA MENOS YO QUERER
251,NUEVA ALMOHADA YO YA COMPRAR ¡SUERTE!,"Compré una almohada nueva, ¡qué suerte!",NUEVA ALMOHADA YO YA COMPRAR ¡SUERTE!
863,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD
751,AYER YO PERDER MI LIGA,Ayer perdí mi liga.,AYER YO PERDER MI LIGA
850,CHINA HABER MUCHAS PERSONAS,En China hay sobrepoblación.,CHINA HABER MUCHAS PERSONAS
217,ODONTOLOGÍA YO PENSAR ESTUDIAR,Pienso estudiar odontología.,ODONTOLOGÍA YO PENSAR ESTUDIAR
494,MESA FIERRO PESADO,La mesa de fierro está muy pesada.,MESA FIERRO PESADO
939,IMPUESTOS PAGAR TUYO OBLIGACIÓN,Es tu obligación pagar impuestos.,IMPUESTOS PAGAR TUYO OBLIGACIÓN
600,RASURADORA YO QUERER COMPRAR,Quiero comprar una rasuradora.,RASURADORA YO QUERER COMPRAR
293,BARCO CAPITÁN él INTELIGENTE,El capitán del barco es muy inteligente.,BARCO CAPITÁN ÉL INTELIGENTE
311,ELLOS PERSONA ENFERMO TU ENFRENTARSE TÚ CONTAGIAR PODER,No te juntes con personas enfermas te pueden contagiar.,ELLOS PERSONA ENFERMO TU ENFRENTARSE TÚ CONTAGIAR PODER
165,NOSOTROS PARA EXAMEN NOSOTROS ESTUDIAR,Estudiamos para el examen.,NOSOTROS PARA EXAMEN NOSOTROS ESTUDIAR
412,SEMANA PASADA YO PEDIR AVENTÓN LUGAR CASETA,La semana pasada pedí un aventón a la caseta.,SEMANA PASADA YO PEDIR AVENTÓN LUGAR CASETA
451,SAPO YA CONVERTIR PERSONA PRÍNCIPE,El sapo se convirtió en príncipe.,SAPO YA CONVERTIR PERSONA PRÍNCIPE
363,DIARIO MI HERMANO AGENDA REVISAR,Mi hermano revisa su agenda diario.,DIARIO MI HERMANO AGENDA REVISAR
502,SEXTO-Primaria MI HIJO YA REPROBAR,Mi hijo reprobó el sexto de primaria.,SEXTO-PRIMARIA MI HIJO YA REPROBAR
924,MI PRIMO UNIVERSIDAD YA INGRESAR,Mi primo ingresó a la universidad.,MI PRIMO UNIVERSIDAD YA INGRESAR
541,IGLESIA CAMPANA GRANDE,En la iglesia hay una campana muy grande.,IGLESIA CAMPANA GRANDE
823,¡CAFÉ CALIENTE!,¡El café está muy caliente!,¡CAFÉ CALIENTE!
361,ADVENTISTA TODOS-SÁBADOS DESCANSAR ELLOS DIOS ADORAR,Los Adventistas descansan los sábados y adoran a Dios.,ADVENTISTA TODOS-SÁBADOS DESCANSAR ELLOS DIOS ADORAR
619,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR
547,NEZAHUALCÓYOTL MUCHO CHOLO,En Nezahualcóyotl hay muchos cholos,NEZAHUALCÓYOTL MUCHO CHOLO
43,dm-ROSALÍA TRABAJAR ARCHIVO HOSPITAL,Rosalía trabaja en el archivo del hospital.,ROSALÍA TRABAJAR ARCHIVO HOSPITAL
307,YO TENER TRABAJO YA CONTENTO YO,"Ya tengo trabajo, estoy contento.",YO TENER TRABAJO YA CONTENTO YO
931,DOMINGOS DOMINGOS MI CASA NO-HAY-NADIE,No hay nadie en mi casa los domingos.,DOMINGOS DOMINGOS MI CASA NO-HAY-NADIE
712,ÉL GRAVE,Él está muy grave.,ÉL GRAVE
71,"#VGT, #LSFB AMBOS SU LENGUA-DE-SEÑAS SU PAÍS BÉLGICA",En Bélgica hay dos lenguas de señas: VGT y LSFB.,"#VGT, #LSFB AMBOS SU LENGUA-DE-SEÑAS SU PAÍS BÉLGICA"
631,SUIZA DIFERENTE DIFERENTE IDIOMA HABLAR,En Suiza se hablan diferentes idiomas.,SUIZA DIFERENTE DIFERENTE IDIOMA HABLAR
539,DIARIO PARQUE dm-SALVADOR BOX EJERCER,Salvador entrena box diario en el parque.,DIARIO PARQUE SALVADOR BOX EJERCER
536,AÑO-PASADO DICIEMBRE BOGOTÁ MÍ JEFE VIAJAR,"En diciembre del año pasado, mi jefe viajó a Bogotá.",AÑO-PASADO DICIEMBRE BOGOTÁ MÍ JEFE VIAJAR
256,ESE PROFESOR SIEMPRE AMARGADO ESO ¡FEO!,"Ese profesor siempre está amargado, ¡qué feo!",ESE PROFESOR SIEMPRE AMARGADO ESO ¡FEO!
633,CARNE YO COMPRAR SUPERMERCADO,Yo compro carne en el supermercado.,CARNE YO COMPRAR SUPERMERCADO
795,SIEMPRE YO ACOSTUMBRAR SUBIR-COCHE TAXI,Acostumbro usar taxi siempre.,SIEMPRE YO ACOSTUMBRAR SUBIR-COCHE TAXI
747,ESE LIBRO YO GUSTAR,Ese libro me gusta.,ESE LIBRO YO GUSTAR
446,AYER CINE MI PRIMO YA ÉL CONQUISTAR ELLA MI AMIGO+MUJER,Ayer mi primo conquistó a mi amiga en el cine.,AYER CINE MI PRIMO YA ÉL CONQUISTAR ELLA MI AMIGO+MUJER
117,CARRERA MEDICINA CONCENTRACIÓN A-FUERZA,La medicina es una carrera que exige concentración.,CARRERA MEDICINA CONCENTRACIÓN A-FUERZA
686,HOSPITALacá TODA ENFERMERA AMABLE,Todas las enfermeras del hospital son muy amables.,HOSPITALACÁ TODA ENFERMERA AMABLE
110,YO CLAVADO HÁBIL YO,Soy muy bueno para los clavados.,YO CLAVADO HÁBIL YO
154,MI HERMANO+MUJER YA EMBARAZADA,Mi hermana está embarazada.,MI HERMANO+MUJER YA EMBARAZADA
358,ADÁN PRIMER HOMBRE MUNDO DIOS HACER,Adán es el primer hombre creado por Dios en el mundo.,ADÁN PRIMER HOMBRE MUNDO DIOS HACER
348,ABRIL CUMPLEAÑOS MI TÍO+MUJER NOSOTROS HACER FIESTA,El cumpleaños de mi tía es en abril y le haremos fiesta.,ABRIL CUMPLEAÑOS MI TÍO+MUJER NOSOTROS HACER FIESTA
806,YO YA COMPRAR NUEVA ALMOHADA PARA CAMA,Compré una almohada nueva para la cama.,YO YA COMPRAR NUEVA ALMOHADA PARA CAMA
876,MALTRATO ANIMAL CRIMEN,El maltrato animal es un crimen.,MALTRATO ANIMAL CRIMEN
211,VACACIONES dm-LUIS IR PANAMÁ,Luis fue de vacaciones a Panamá.,VACACIONES LUIS IR PANAMÁ
346,MI HIJO YO ABANDONAR,Yo abandoné a mi hijo.,MI HIJO YO ABANDONAR
913,DESIERTO DIFÍCIL VIVIR,Vivir en el desierto es difícil.,DESIERTO DIFÍCIL VIVIR
312,AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE,Compré este celular ayer pero está muy corriente.,AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE
702,AÑO-PASADO MI GENERACIÓN GRADUAR,Mi generación se graduó el año pasado.,AÑO-PASADO MI GENERACIÓN GRADUAR
63,YO IR BAÑO,Voy al baño.,YO IR BAÑO
691,ÉL MI EX NOVIO,Él es mi ex novio.,ÉL MI EX NOVIO
898,CINE MI AMIGO ÉL BESAR MÍ YA,Mi amigo me besó en el cine.,CINE MI AMIGO ÉL BESAR MÍ YA
717,¿TÚ GRUPO NÚMERO CUÁL?,¿Cuál es el número de tu grupo?,¿TÚ GRUPO NÚMERO CUÁL?
419,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO
399,LUGAR TOKIO SU ASIA,Tokio se ubica en Asia.,LUGAR TOKIO SU ASIA
208,FRASCO DULCES NO-HAY,No hay dulces en el frasco.,FRASCO DULCES NO-HAY
970,TABLE-DANCE MUJER DIFERENTE BAILA MESA,"En el table dance, las mujeres bailan sobre la mesa",TABLE-DANCE MUJER DIFERENTE BAILA MESA
587,MALETA TÚ PODER LLEVAR,Puedes llevar una maleta.,MALETA TÚ PODER LLEVAR
495,NIÑO NIÑO TENER PIOJO,Los niños tienen piojos.,NIÑO NIÑO TENER PIOJO
606,COMIDA FALTA SAL POQUITO,A la comida le faltó un poco de sal.,COMIDA FALTA SAL POQUITO
193,ROPA NUEVA YO COMPRAR YO MODA-DE-ROPA,Compraré ropa nueva. Yo estoy a la moda.,ROPA NUEVA YO COMPRAR YO MODA-DE-ROPA
548,CUATRO CILINDRO MI CARRO USAR,Mi carro usa cuatro cilindros.,CUATRO CILINDRO MI CARRO USAR
152,HOMBRE EGIPCIO NO RESPONDER,El egipcio no respondió.,HOMBRE EGIPCIO NO RESPONDER
905,HOY YO ARROZ COMER,Hoy no comí arroz.,HOY YO ARROZ COMER
14,MI HERMANO ACTIVO,Mi hermano es activo.,MI HERMANO ACTIVO
112,MI TÍO+MUJER DELICIOSO COCINAR,Mi tía cocina delicioso.,MI TÍO+MUJER DELICIOSO COCINAR
53,dm-LUZ BABY-SHOWER MAÑANA,Mañana será el Baby Shower de Luz.,LUZ BABY-SHOWER MAÑANA
42,dm-JUANA SU AMIGO ÁRABE,El amigo de Juana es árabe.,JUANA SU AMIGO ÁRABE
104,MI TÍO TENER CASA CUERNAVACA,Mi tío tiene una casa en Cuernavaca.,MI TÍO TENER CASA CUERNAVACA
928,YO TENER ESCUELA MUCHO AMIGO AMIGO,Tengo muchos amigos en la escuela.,YO TENER ESCUELA MUCHO AMIGO AMIGO
78,AYER YO PASEAR SENTIR BIEN,Ayer fui a pasear y me senti muy bien,AYER YO PASEAR SENTIR BIEN
664,MÍ MAMÁ COMPRAR CALZÓN,Mi mamá me compró un calzón.,MÍ MAMÁ COMPRAR CALZÓN
893,YO DECIR NO-PODER YO DEBER AGUANTAR,"No puedo decirlo, debo aguantarme.",YO DECIR NO-PODER YO DEBER AGUANTAR
335,AYER SU ROPA SUCIA MI HERMANO LAVAR,Ayer mi hermano lavó su ropa sucia.,AYER SU ROPA SUCIA MI HERMANO LAVAR
192,MI JEFE ÉL PAGAR MÍ SUELDO MITAD,Mi jefe me pagó la mitad del sueldo.,MI JEFE ÉL PAGAR MÍ SUELDO MITAD
16,JEHOVÁ YO ADORAR,Adoro a Jehová.,JEHOVÁ YO ADORAR
966,YO NO-FUI COMPUTADORA NO-SIRVE,Yo no fui quien descompuso la computadora.,YO NO-FUI COMPUTADORA NO-SIRVE
567,POLVO YO MUCHO ESTORNUDAR,"Con mucho polvo, yo estornudo mucho.",POLVO YO MUCHO ESTORNUDAR
322,YO SUERTE LOGRAR YO PODER,"Yo tuve suerte, lo pude lograr.",YO SUERTE LOGRAR YO PODER
479,NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ,Me mandas un mensaje de whatsapp en la noche.,NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ
714,TROMBÓN SONIDO GRAVE TENER,El trombón tiene un sonido muy grave.,TROMBÓN SONIDO GRAVE TENER
138,MÉXICO BIBLIOTECA GRANDE,La Biblioteca de México es muy grande.,MÉXICO BIBLIOTECA GRANDE
181,MADRUGADA EXPLOSIÓN YO ESCUCHAR,En la madrugada escuché una explosión.,MADRUGADA EXPLOSIÓN YO ESCUCHAR
329,PULPO YO YA COMER DELICOSO,"Yo comí pulpo, es delicioso.",PULPO YO YA COMER DELICOSO
729,YO YA SABER LEER INGLÉS IDIOMA,Yo sé leer en idioma inglés.,YO YA SABER LEER INGLÉS IDIOMA
578,TÚ HURAÑO TÚ,Eres un huraño con todos.,TÚ HURAÑO TÚ
238,A-VECES YO IR CASA SIEMPRE NO,"No siempre voy a casa, sólo a veces.",A-VECES YO IR CASA SIEMPRE NO
344,COLADERA TÚ A-SALVO CAER,Estuviste a salvo de caer en la coladera.,COLADERA TÚ A-SALVO CAER
822,SU #SEP CALENDARIO AGOSTO TERMINAR,El calendario de la SEP termina en agosto.,SU #SEP CALENDARIO AGOSTO TERMINAR
473,LLANTA COCHE TÚ DEBER CAMBIAR,Debes cambiar la llanta del coche.,LLANTA COCHE TÚ DEBER CAMBIAR
628,dm-ALICIA YA VIAJAR SUDÁFRICA,Alicia viajó a Sudáfrica.,ALICIA YA VIAJAR SUDÁFRICA
83,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,Santiago guarda en su bolsillo una moneda.,SANTIAGO MONEDA GUARDAR-BOLSILLO
212,MOCHILA ROJA HABER DOS PAÑAL,En la mochila roja hay dos pañales.,MOCHILA ROJA HABER DOS PAÑAL
349,MÍ ABUELO+MUJER 90 EDAD,Mi abuela tiene 90 años.,MÍ ABUELO+MUJER 90 EDAD
855,CINTURÓN-DE-SEGURIDAD MI AUTO NO-HAY,Mi auto no tiene cinturón de seguridad.,CINTURÓN-DE-SEGURIDAD MI AUTO NO-HAY
554,ESE HOMBRE JOVEN BUEN CORREDOR,Ese muchacho es muy buen corredor.,ESE HOMBRE JOVEN BUEN CORREDOR
468,IRÁN BANDERA COLOR VERDE BLANCO ROJO,Los colores de la bandera de Irán son verde blanco y rojo.,IRÁN BANDERA COLOR VERDE BLANCO ROJO
596,#TV PUBLICIDAD HABER MUCHO,En la TV hay mucha publicidad.,#TV PUBLICIDAD HABER MUCHO
570,FRONTERA TIJUANA MÍ TÍO VIVIR,"Mi tío vive en la frontera, en Tijuana.",FRONTERA TIJUANA MÍ TÍO VIVIR
326,dm-AIMÉ SALTAR PARACAIDAS,Aimé saltó en paracaídas.,AIMÉ SALTAR PARACAIDAS
977,dm-EDGAR FUTURO MAESTRO,Edgar será maestro.,EDGAR FUTURO MAESTRO
106,POLICÍA AMBULANCIA PASO ÉL CEDER,El policía cedió el paso a la ambulancia.,POLICÍA AMBULANCIA PASO ÉL CEDER
261,YO QUERER APRENDER MUCHO COSA,Yo quiero aprender muchas cosas.,YO QUERER APRENDER MUCHO COSA
82,SUÉTER BLANCO YO PERDER,Perdí el suéter blanco.,SUÉTER BLANCO YO PERDER
964,TODAVÍA MI TAREA YO NO TERMINAR,No termino mi tarea todavía.,TODAVÍA MI TAREA YO NO TERMINAR
721,GUERRERO ESTADO BONITO,Guerrero es un estado bonito.,GUERRERO ESTADO BONITO
524,CANTAR+MUJER dm-MADONNA ELLOS ADMIRAR ELLA,Ellos admiran a la cantante Madonna.,CANTAR+MUJER MADONNA ELLOS ADMIRAR ELLA
